#separator:tab
#html:false
ID cell type:	Eosinophil
Hemolytic Uremic Syndrome (HUS):    Infectious etiology in children - [...] and [...]   Infectious pathogenesis - [...]   Presentation - similar to TTP, but does not have neurological symptoms (so left with a tetrad).    Possible cause of death in children - renal failure.   * Adults may get this following drug therapies *	Hemolytic Uremic Syndrome (HUS):    Infectious etiology in children - E coli strain 0157:HT and Shigella   Infectious pathogenesis - Shigatoxin absorbed through inflammed gut --> destroys endothelium --> activation of platelets   Presentation - similar to TTP, but does not have neurological symptoms (so left with a tetrad).    Possible cause of death in children - renal failure.   * Adults may get this following drug therapies *   E.coli or shigella both produce shigatoxin
Hemolytic Uremic Syndrome (HUS):    Infectious etiology in children - E coli strain 0157:HT and Shigella   Infectious pathogenesis - Shigatoxin absorbed through inflammed gut --> destroys endothelium --> activation of platelets   Presentation - similar to TTP, but does not have [...] symptoms (so left with a tetrad).    Possible cause of death in children - [...].   * Adults may get this following drug therapies *	Hemolytic Uremic Syndrome (HUS):    Infectious etiology in children - E coli strain 0157:HT and Shigella   Infectious pathogenesis - Shigatoxin absorbed through inflammed gut --> destroys endothelium --> activation of platelets   Presentation - similar to TTP, but does not have neurological symptoms (so left with a tetrad).    Possible cause of death in children - renal failure.   * Adults may get this following drug therapies *   E.coli or shigella both produce shigatoxin
[...]:    Infectious etiology in children - E coli strain 0157:HT and Shigella   Infectious pathogenesis - Shigatoxin absorbed through inflammed gut --> destroys endothelium --> activation of platelets   Presentation - similar to TTP, but does not have neurological symptoms (so left with a tetrad).    Possible cause of death in children - renal failure.   * Adults may get this following drug therapies *	Hemolytic Uremic Syndrome (HUS):    Infectious etiology in children - E coli strain 0157:HT and Shigella   Infectious pathogenesis - Shigatoxin absorbed through inflammed gut --> destroys endothelium --> activation of platelets   Presentation - similar to TTP, but does not have neurological symptoms (so left with a tetrad).    Possible cause of death in children - renal failure.   * Adults may get this following drug therapies *   E.coli or shigella both produce shigatoxin
[...] Syndrome is characterized by adrenal gland failure and necrosis due to hemorrhaging and DIC.   Most commonly associated infection - meningococcus	Waterhouse-Frederichsen Syndrome is characterized by adrenal gland failure and necrosis due to hemorrhaging and DIC.   Most commonly associated infection - meningococcus
Waterhouse-Frederichsen Syndrome is characterized by [...] failure and necrosis due to hemorrhaging and DIC.   Most commonly associated infection - meningococcus	Waterhouse-Frederichsen Syndrome is characterized by adrenal gland failure and necrosis due to hemorrhaging and DIC.   Most commonly associated infection - meningococcus
Waterhouse-Frederichsen Syndrome is characterized by adrenal gland failure and necrosis due to hemorrhaging and DIC.   Most commonly associated infection - [...]	Waterhouse-Frederichsen Syndrome is characterized by adrenal gland failure and necrosis due to hemorrhaging and DIC.   Most commonly associated infection - meningococcus
Glanzmann thrombasthenia:    Inheritance - [...]    Mutation - [...]   Labs:  Platelet count - normal  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - decreased (usually act to upregulate aggregation receptors) Response to ristocetin - normally (acts to upregulate GP-I - vWF adhesion)	Glanzmann thrombasthenia:    Inheritance - autosomal recessive (patients typically present with mucocutaneous bleeding at birth or early in infancy)    Mutation - glycoprotein IIb/IIIa (GP IIb/ IIIa) is deficient of dysfunctional --> defective platelet aggregation   Labs:  Platelet count - normal  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - decreased (usually act to upregulate aggregation receptors) Response to ristocetin - normally (acts to upregulate GP-I - vWF adhesion)   Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination.
[...]:    Inheritance - autosomal recessive (patients typically present with mucocutaneous bleeding at birth or early in infancy)    Mutation - glycoprotein IIb/IIIa (GP IIb/ IIIa) is deficient of dysfunctional --> defective platelet aggregation   Labs:  Platelet count - normal  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - decreased (usually act to upregulate aggregation receptors) Response to ristocetin - normally (acts to upregulate GP-I - vWF adhesion)	Glanzmann thrombasthenia:    Inheritance - autosomal recessive (patients typically present with mucocutaneous bleeding at birth or early in infancy)    Mutation - glycoprotein IIb/IIIa (GP IIb/ IIIa) is deficient of dysfunctional --> defective platelet aggregation   Labs:  Platelet count - normal  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - decreased (usually act to upregulate aggregation receptors) Response to ristocetin - normally (acts to upregulate GP-I - vWF adhesion)   Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination.
Glanzmann thrombasthenia:    Inheritance - autosomal recessive (patients typically present with mucocutaneous bleeding at birth or early in infancy)    Mutation - glycoprotein IIb/IIIa (GP IIb/ IIIa) is deficient of dysfunctional --> defective platelet aggregation   Labs:  Platelet count - [...]  Platelet morphology - [...]  Bleeding time - [...] Response to ADP, epinephrine and collagen - [...] Response to ristocetin - [...]	Glanzmann thrombasthenia:    Inheritance - autosomal recessive (patients typically present with mucocutaneous bleeding at birth or early in infancy)    Mutation - glycoprotein IIb/IIIa (GP IIb/ IIIa) is deficient of dysfunctional --> defective platelet aggregation   Labs:  Platelet count - normal  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - decreased (usually act to upregulate aggregation receptors) Response to ristocetin - normally (acts to upregulate GP-I - vWF adhesion)   Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination.
Bernard-Soulier syndrome (aka giant platelet syndrome):     Inheritance - [...]    Mutation - [...]   Presentation - brusing and mucosal bleeding (begins in infancy and continues with varying severty throughout life)   Labs:  Platelet count - usually decreased (decreased platelet lifespan)  Platelet morphology - giant  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *	Bernard-Soulier syndrome (aka giant platelet syndrome):     Inheritance - autosomal recessive (heterozygotes usually have no bleeding)    Mutation - glycoprotein Ib / IX / V complex is deficient of absent --> defective platelet adhesion (receptor for vWF)   Presentation - brusing and mucosal bleeding (begins in infancy and continues with varying severty throughout life)   Labs:  Platelet count - usually decreased (decreased platelet lifespan)  Platelet morphology - giant  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *    Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination.
Bernard-Soulier syndrome (aka giant platelet syndrome):     Inheritance - autosomal recessive (heterozygotes usually have no bleeding)    Mutation - glycoprotein Ib / IX / V complex is deficient of absent --> defective platelet adhesion (receptor for vWF)   Presentation - brusing and mucosal bleeding (begins in infancy and continues with varying severty throughout life)   Labs:  Platelet count - [...]  Platelet morphology - [...]  Bleeding time - [...] Response to ADP, epinephrine and collagen - [...] Response to ristocetin - [...]   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *	Bernard-Soulier syndrome (aka giant platelet syndrome):     Inheritance - autosomal recessive (heterozygotes usually have no bleeding)    Mutation - glycoprotein Ib / IX / V complex is deficient of absent --> defective platelet adhesion (receptor for vWF)   Presentation - brusing and mucosal bleeding (begins in infancy and continues with varying severty throughout life)   Labs:  Platelet count - usually decreased (decreased platelet lifespan)  Platelet morphology - giant  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *    Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination.
Bernard-Soulier syndrome (aka giant platelet syndrome):     Inheritance - autosomal recessive (heterozygotes usually have no bleeding)    Mutation - glycoprotein Ib / IX / V complex is deficient of absent --> defective platelet adhesion (receptor for vWF)   Presentation - [...]   Labs:  Platelet count - usually decreased (decreased platelet lifespan)  Platelet morphology - giant  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *	Bernard-Soulier syndrome (aka giant platelet syndrome):     Inheritance - autosomal recessive (heterozygotes usually have no bleeding)    Mutation - glycoprotein Ib / IX / V complex is deficient of absent --> defective platelet adhesion (receptor for vWF)   Presentation - brusing and mucosal bleeding (begins in infancy and continues with varying severty throughout life)   Labs:  Platelet count - usually decreased (decreased platelet lifespan)  Platelet morphology - giant  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *    Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination.
[...]:     Inheritance - autosomal recessive (heterozygotes usually have no bleeding)    Mutation - glycoprotein Ib / IX / V complex is deficient of absent --> defective platelet adhesion (receptor for vWF)   Presentation - brusing and mucosal bleeding (begins in infancy and continues with varying severty throughout life)   Labs:  Platelet count - usually decreased (decreased platelet lifespan)  Platelet morphology - giant  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *	Bernard-Soulier syndrome (aka giant platelet syndrome):     Inheritance - autosomal recessive (heterozygotes usually have no bleeding)    Mutation - glycoprotein Ib / IX / V complex is deficient of absent --> defective platelet adhesion (receptor for vWF)   Presentation - brusing and mucosal bleeding (begins in infancy and continues with varying severty throughout life)   Labs:  Platelet count - usually decreased (decreased platelet lifespan)  Platelet morphology - giant  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased   * Automatic platelet function analyzers (PFA) example PFA-100 is the new method of diagnosis and care is generally supportive. *    Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination.
Von Willibrand Disease:    Type I - [...] Type IIA - [...] Type IIB - [...] Type III - [...]     Labs:  Platelet count - normal (Low in type IIB)  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased	"Von Willibrand Disease:    Type I - Quantitative decrease - autosomal dominant reduction in amount of vWF (mild) Type IIA - Qualitative decrease - autosomal dominant decreased function (loss of function) Type IIB -  Qualitative increase - increased function leading to spontaneous platelet binding and thus rapid clearance of bound platelets and vWF multimers leading to low vWF and low platelets Type III - autosomal recessive reduction in amount of vWF (very severe)     Labs:  Platelet count - normal (Low in type IIB)  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased    Type IIa is a ""gain of function"" defect. The ability of the qualitatively defective von Willebrand factor to bind to glycoprotein Ib (GPIb) receptor on the platelet membrane is abnormally enhanced, leading to its spontaneous binding to platelets and subsequent rapid clearance of the bound platelets and of the large vWF multimers. Thrombocytopenia may occur. Large vWF multimers are reduced or absent from the circulation.   The ristocetin-induced platelet aggregation (RIPA) is an ex vivo assay for live platelet function. It measures platelet aggregation with the help of von Willebrand factor (vWF) and exogenous antibiotic ristocetin added in a graded fashion. It is similar to the ristocetin cofactor assay but has the added benefit in that it helps in the diagnosis of type 2B/pseudo von Willebrand disease (vWD) and Bernard-Soulier syndrome because it uses patient's live endogenous platelets, whereas ristocetin cofactor assay tests the function of only the vWF and not the platelets.    Ristocetin cofactor assay uses platelet-poor plasma (with vWF but no platelets) and adds ristocetin and exogenous formalin-fixed platelets which can passively agglutinate (but not actively ""aggregate"", as they are dead). Formalin does not allow the extrinsic platelets to secrete the vWF of their α-granules, and thus only the activity of the intrinsic vWF is tested.    Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination of fixed platelets or initiates the initial agglutination phase of aggregation of live platelets.    Type 1 vWD: hypoactive agglutination occurs  Type 2A vWD: hypoactive agglutination occurs  Type 2B vWD: hyperactive agglutination occurs Type 3 vWD: no agglutination occurs"
[...]:    Type I - Quantitative decrease - autosomal dominant reduction in amount of vWF (mild) Type IIA - Qualitative decrease - autosomal dominant decreased function (loss of function) Type IIB -  Qualitative increase - increased function leading to spontaneous platelet binding and thus rapid clearance of bound platelets and vWF multimers leading to low vWF and low platelets Type III - autosomal recessive reduction in amount of vWF (very severe)     Labs:  Platelet count - normal (Low in type IIB)  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased	"Von Willibrand Disease:    Type I - Quantitative decrease - autosomal dominant reduction in amount of vWF (mild) Type IIA - Qualitative decrease - autosomal dominant decreased function (loss of function) Type IIB -  Qualitative increase - increased function leading to spontaneous platelet binding and thus rapid clearance of bound platelets and vWF multimers leading to low vWF and low platelets Type III - autosomal recessive reduction in amount of vWF (very severe)     Labs:  Platelet count - normal (Low in type IIB)  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased    Type IIa is a ""gain of function"" defect. The ability of the qualitatively defective von Willebrand factor to bind to glycoprotein Ib (GPIb) receptor on the platelet membrane is abnormally enhanced, leading to its spontaneous binding to platelets and subsequent rapid clearance of the bound platelets and of the large vWF multimers. Thrombocytopenia may occur. Large vWF multimers are reduced or absent from the circulation.   The ristocetin-induced platelet aggregation (RIPA) is an ex vivo assay for live platelet function. It measures platelet aggregation with the help of von Willebrand factor (vWF) and exogenous antibiotic ristocetin added in a graded fashion. It is similar to the ristocetin cofactor assay but has the added benefit in that it helps in the diagnosis of type 2B/pseudo von Willebrand disease (vWD) and Bernard-Soulier syndrome because it uses patient's live endogenous platelets, whereas ristocetin cofactor assay tests the function of only the vWF and not the platelets.    Ristocetin cofactor assay uses platelet-poor plasma (with vWF but no platelets) and adds ristocetin and exogenous formalin-fixed platelets which can passively agglutinate (but not actively ""aggregate"", as they are dead). Formalin does not allow the extrinsic platelets to secrete the vWF of their α-granules, and thus only the activity of the intrinsic vWF is tested.    Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination of fixed platelets or initiates the initial agglutination phase of aggregation of live platelets.    Type 1 vWD: hypoactive agglutination occurs  Type 2A vWD: hypoactive agglutination occurs  Type 2B vWD: hyperactive agglutination occurs Type 3 vWD: no agglutination occurs"
Von Willibrand Disease:    Type I - Quantitative decrease - autosomal dominant reduction in amount of vWF (mild) Type IIA - Qualitative decrease - autosomal dominant decreased function (loss of function) Type IIB -  Qualitative increase - increased function leading to spontaneous platelet binding and thus rapid clearance of bound platelets and vWF multimers leading to low vWF and low platelets Type III - autosomal recessive reduction in amount of vWF (very severe)     Labs:  Platelet count - [...]  Platelet morphology - [...]  Bleeding time - [...] Response to ADP, epinephrine and collagen - [...] Response to ristocetin - [...]	"Von Willibrand Disease:    Type I - Quantitative decrease - autosomal dominant reduction in amount of vWF (mild) Type IIA - Qualitative decrease - autosomal dominant decreased function (loss of function) Type IIB -  Qualitative increase - increased function leading to spontaneous platelet binding and thus rapid clearance of bound platelets and vWF multimers leading to low vWF and low platelets Type III - autosomal recessive reduction in amount of vWF (very severe)     Labs:  Platelet count - normal (Low in type IIB)  Platelet morphology - normal  Bleeding time - increased Response to ADP, epinephrine and collagen - normal Response to ristocetin - decreased    Type IIa is a ""gain of function"" defect. The ability of the qualitatively defective von Willebrand factor to bind to glycoprotein Ib (GPIb) receptor on the platelet membrane is abnormally enhanced, leading to its spontaneous binding to platelets and subsequent rapid clearance of the bound platelets and of the large vWF multimers. Thrombocytopenia may occur. Large vWF multimers are reduced or absent from the circulation.   The ristocetin-induced platelet aggregation (RIPA) is an ex vivo assay for live platelet function. It measures platelet aggregation with the help of von Willebrand factor (vWF) and exogenous antibiotic ristocetin added in a graded fashion. It is similar to the ristocetin cofactor assay but has the added benefit in that it helps in the diagnosis of type 2B/pseudo von Willebrand disease (vWD) and Bernard-Soulier syndrome because it uses patient's live endogenous platelets, whereas ristocetin cofactor assay tests the function of only the vWF and not the platelets.    Ristocetin cofactor assay uses platelet-poor plasma (with vWF but no platelets) and adds ristocetin and exogenous formalin-fixed platelets which can passively agglutinate (but not actively ""aggregate"", as they are dead). Formalin does not allow the extrinsic platelets to secrete the vWF of their α-granules, and thus only the activity of the intrinsic vWF is tested.    Ristocetin is now used solely to assay those functions in vitro in the diagnosis of conditions such as von Willebrand disease (vWD) and Bernard-Soulier syndrome. Platelet agglutination caused by ristocetin can occur only in the presence of von Willebrand factor multimers, so if ristocetin is added to blood lacking the factor (or its receptor—see below), the platelets will not clump.   In an unknown fashion, the antibiotic ristocetin causes von Willebrand factor to bind the platelet receptor glycoprotein Ib (GpIb), so when ristocetin is added to normal blood, it causes agglutination of fixed platelets or initiates the initial agglutination phase of aggregation of live platelets.    Type 1 vWD: hypoactive agglutination occurs  Type 2A vWD: hypoactive agglutination occurs  Type 2B vWD: hyperactive agglutination occurs Type 3 vWD: no agglutination occurs"
Which type of Von Willerbrand Disease includes hemarthrosis? (usually seen in hemophilias, but seen here due to severely reduced half life of factor VIII)	Type III - autosomal recessive, severe lack of vWF
Disseminated intravascular coagulation (aka consumption coagulopathy):    Epidemiology - [...]   Etiologies - many, but all involve [...] or [...] ... see picture below   Pathogenesis - endothelial injury (release of tissue factor) or release of thromboplastic substances  --> activation of coagulation pathway --> rapid formation of many small thrombi --> consumption of coagulation factors and platelets --> prone to bleeding   Labs:  Bleeding time - increased PT - increased PTT - increased Fibrinogen - decreased Fibrin split products (e.g. D-dimer) - increased Plasminogen - decreased Plasmin - decreased Protein C - decreased Antithrombin - decreased	Disseminated intravascular coagulation (aka consumption coagulopathy):    Epidemiology - very sick patients (secondary condition)   Etiologies - many, but all involve damaging endothelium (trauma, sepsis, rickettsiease and meningiococcus) inducing the release of tissue factor or release of thromboplastic substances (amniotic fluid, LPS/LOS, granules of leukemic cells, mucin from adenocarcinomas, TNF, IL-1) ... see picture below   Pathogenesis - endothelial injury (release of tissue factor) or release of thromboplastic substances  --> activation of coagulation pathway --> rapid formation of many small thrombi --> consumption of coagulation factors and platelets --> prone to bleeding   Labs:  Bleeding time - increased PT - increased PTT - increased Fibrinogen - decreased Fibrin split products (e.g. D-dimer) - increased Plasminogen - decreased Plasmin - decreased Protein C - decreased Antithrombin - decreased
Disseminated intravascular coagulation (aka consumption coagulopathy):    Epidemiology - very sick patients (secondary condition)   Etiologies - many, but all involve damaging endothelium (trauma, sepsis, rickettsiease and meningiococcus) inducing the release of tissue factor or release of thromboplastic substances (amniotic fluid, LPS/LOS, granules of leukemic cells, mucin from adenocarcinomas, TNF, IL-1) ... see picture below   Pathogenesis - [...]   Labs:  Bleeding time - increased PT - increased PTT - increased Fibrinogen - decreased Fibrin split products (e.g. D-dimer) - increased Plasminogen - decreased Plasmin - decreased Protein C - decreased Antithrombin - decreased	Disseminated intravascular coagulation (aka consumption coagulopathy):    Epidemiology - very sick patients (secondary condition)   Etiologies - many, but all involve damaging endothelium (trauma, sepsis, rickettsiease and meningiococcus) inducing the release of tissue factor or release of thromboplastic substances (amniotic fluid, LPS/LOS, granules of leukemic cells, mucin from adenocarcinomas, TNF, IL-1) ... see picture below   Pathogenesis - endothelial injury (release of tissue factor) or release of thromboplastic substances  --> activation of coagulation pathway --> rapid formation of many small thrombi --> consumption of coagulation factors and platelets --> prone to bleeding   Labs:  Bleeding time - increased PT - increased PTT - increased Fibrinogen - decreased Fibrin split products (e.g. D-dimer) - increased Plasminogen - decreased Plasmin - decreased Protein C - decreased Antithrombin - decreased
Disseminated intravascular coagulation (aka consumption coagulopathy):    Epidemiology - very sick patients (secondary condition)   Etiologies - many, but all involve damaging endothelium (trauma, sepsis, rickettsiease and meningiococcus) inducing the release of tissue factor or release of thromboplastic substances (amniotic fluid, LPS/LOS, granules of leukemic cells, mucin from adenocarcinomas, TNF, IL-1) ... see picture below   Pathogenesis - endothelial injury (release of tissue factor) or release of thromboplastic substances  --> activation of coagulation pathway --> rapid formation of many small thrombi --> consumption of coagulation factors and platelets --> prone to bleeding   Labs:  Bleeding time - [...] PT - [...] PTT - [...] Fibrinogen - [...] Fibrin split products (e.g. D-dimer) - [...] Plasminogen - [...] Plasmin - [...] Protein C - [...] Antithrombin - [...]	Disseminated intravascular coagulation (aka consumption coagulopathy):    Epidemiology - very sick patients (secondary condition)   Etiologies - many, but all involve damaging endothelium (trauma, sepsis, rickettsiease and meningiococcus) inducing the release of tissue factor or release of thromboplastic substances (amniotic fluid, LPS/LOS, granules of leukemic cells, mucin from adenocarcinomas, TNF, IL-1) ... see picture below   Pathogenesis - endothelial injury (release of tissue factor) or release of thromboplastic substances  --> activation of coagulation pathway --> rapid formation of many small thrombi --> consumption of coagulation factors and platelets --> prone to bleeding   Labs:  Bleeding time - increased PT - increased PTT - increased Fibrinogen - decreased Fibrin split products (e.g. D-dimer) - increased Plasminogen - decreased Plasmin - decreased Protein C - decreased Antithrombin - decreased
[...]:    Epidemiology - very sick patients (secondary condition)   Etiologies - many, but all involve damaging endothelium (trauma, sepsis, rickettsiease and meningiococcus) inducing the release of tissue factor or release of thromboplastic substances (amniotic fluid, LPS/LOS, granules of leukemic cells, mucin from adenocarcinomas, TNF, IL-1) ... see picture below   Pathogenesis - endothelial injury (release of tissue factor) or release of thromboplastic substances  --> activation of coagulation pathway --> rapid formation of many small thrombi --> consumption of coagulation factors and platelets --> prone to bleeding   Labs:  Bleeding time - increased PT - increased PTT - increased Fibrinogen - decreased Fibrin split products (e.g. D-dimer) - increased Plasminogen - decreased Plasmin - decreased Protein C - decreased Antithrombin - decreased	Disseminated intravascular coagulation (aka consumption coagulopathy):    Epidemiology - very sick patients (secondary condition)   Etiologies - many, but all involve damaging endothelium (trauma, sepsis, rickettsiease and meningiococcus) inducing the release of tissue factor or release of thromboplastic substances (amniotic fluid, LPS/LOS, granules of leukemic cells, mucin from adenocarcinomas, TNF, IL-1) ... see picture below   Pathogenesis - endothelial injury (release of tissue factor) or release of thromboplastic substances  --> activation of coagulation pathway --> rapid formation of many small thrombi --> consumption of coagulation factors and platelets --> prone to bleeding   Labs:  Bleeding time - increased PT - increased PTT - increased Fibrinogen - decreased Fibrin split products (e.g. D-dimer) - increased Plasminogen - decreased Plasmin - decreased Protein C - decreased Antithrombin - decreased
Leukoerythroblastic reaction:    Peripheral blood smear - [...]   Causes:  Metastasis in males - prostate cancer. Metastasis in females - breast cancer.  Via fibrosis of bone marrow - myelofibrosis and endstage chronic myelogenous leukemia Trauma - multiple comminuted fracture	Leukoerythroblastic reaction:    Peripheral blood smear - immature WBC's (myeloblasts, promyelocytes, myelocytes) and nucleated RBC's (peripheralized secondary to bone marrow infiltrative disease)   Causes:  Metastasis in males - prostate cancer. Metastasis in females - breast cancer.  Via fibrosis of bone marrow - myelofibrosis and endstage chronic myelogenous leukemia Trauma - multiple comminuted fracture
Leukoerythroblastic reaction:    Peripheral blood smear - immature WBC's (myeloblasts, promyelocytes, myelocytes) and nucleated RBC's (peripheralized secondary to bone marrow infiltrative disease)   Causes:  Metastasis in males - [...] cancer. Metastasis in females - [...] cancer.  Via fibrosis of bone marrow - [...] and [...] Trauma - [...]	Leukoerythroblastic reaction:    Peripheral blood smear - immature WBC's (myeloblasts, promyelocytes, myelocytes) and nucleated RBC's (peripheralized secondary to bone marrow infiltrative disease)   Causes:  Metastasis in males - prostate cancer. Metastasis in females - breast cancer.  Via fibrosis of bone marrow - myelofibrosis and endstage chronic myelogenous leukemia Trauma - multiple comminuted fracture
What are the 2 most common lymphoma in adults?	First - diffuse large cell B cell lymphoma Second - follicular lymphoma
Diffuse Large B-cell Lymphoma (DLBCL):    Aggressive? [...] Treatable? [...]   Presentation -  rapidly enlarging mass at either a single nodal or extranodal site --> symptoms due to mass effect   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - BCL6 Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t(14:18) & BCL2 + negative for the marker above   Managment: R-CHOP	Diffuse Large B-cell Lymphoma (DLBCL):    Aggressive? YES (progresses rapidly if not treated) Treatable? YES (lasting remissions seen in ~50% of chemotherapy patients)   Presentation -  rapidly enlarging mass at either a single nodal or extranodal site --> symptoms due to mass effect   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - BCL6 Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t(14:18) & BCL2 + negative for the marker above   Managment: R-CHOP   R-CHOP is a combination of one monoclonal antibody (rituximab), three chemotherapy agents (cyclophosphamide, doxorubicin, vincristine), and one steroid (prednisone).
