#separator:tab
#html:false
Abciximab	CD41 (integrin alpha IIb), Glycoprotein IIb/IIIa inhibitor Platelet aggregation inhibitor
Only active against dermatophytes by depositing newly formed keratin and disrupting microtubule structure	Griseofulvin
Azithromycin	Anti-microbial with a 60 hour half-life, binds to the bacterial 50S ribosomal subunit to inhibit translocation thereby inhibiting protein synthesis, does not affect cytochrome P450 pathways, and is safe in pregnancy
Anti-microbial with a 60 hour half-life, binds to the bacterial 50S ribosomal subunit to inhibit translocation thereby inhibiting protein synthesis, does not affect cytochrome P450 pathways, and is safe in pregnancy	Azithromycin
Romiplostin & Eltrombopag	Fusion protein analogs of thrombopoetin used in chronic immune thrombocytopenia
Fusion protein analogs of thrombopoetin used in chronic immune thrombocytopenia	Romiplostin & Eltrombopag
Mongerson	SMAD7 downregulation Mongersen has previously been shown to downregulate SMAD7 and prevent and alleviate Crohn’s disease–like colitis in mice. Studies conducted with mucosal cells from humans with Crohn’s disease showed that inhibition of SMAD7 production by mongersen restored TGF-β1 signaling, thereby suppressing inflammatory cytokine production
Sodium Zirconium Cyclosilicate	Novel selective cation exchanger in hyperkalemia    Sodium zirconium cyclosilicate (ZS-9) is a highly selective cation exchanger that entraps potassium in the intestinal tract in exchange for sodium and hydrogen In a phase 2 study, ZS-9, as compared with placebo, was associated with significant reductions in serum potassium levels within the first 48 hours of treatment in patients with stage 3 chronic kidney disease (estimated glomerular filtration rate [eGFR], 30 to 60 ml per minute per 1.73 m2 of body-surface area) and serum potassium levels of 5 to 6 mmol per liter.
Novel selective cation exchanger in hyperkalemia	Sodium Zirconium Cyclosilicate    Sodium zirconium cyclosilicate (ZS-9) is a highly selective cation exchanger that entraps potassium in the intestinal tract in exchange for sodium and hydrogen In a phase 2 study, ZS-9, as compared with placebo, was associated with significant reductions in serum potassium levels within the first 48 hours of treatment in patients with stage 3 chronic kidney disease (estimated glomerular filtration rate [eGFR], 30 to 60 ml per minute per 1.73 m2 of body-surface area) and serum potassium levels of 5 to 6 mmol per liter.
Icatibant	Selective B2 bradykinin receptor antagonist for ACE-inhibitor-induced angioedema
Selective B2 bradykinin receptor antagonist for ACE-inhibitor-induced angioedema	Icatibant
Ibrutinib	Bruton's Tyrosine Kinase Inhibitor Used in: 1) CLL 2) Lymphoma (small and mantle cell) 3) Waldenstrom's Macroglobulinemia (MYD88 and CXCR4 mutations)    In Australia: 1) First line for chronic lymphocytic leukaemia in patients with the 17p deletion 2) Second line for chronic lymphocytic leukaemia and small lymphocytic lymphoma (after at least one previous therapy) 3) Second line for mantle cell lymphoma (after at least one previous therapy).
Bruton's Tyrosine Kinase Inhibitor Used in: 1) CLL 2) Lymphoma (small and mantle cell) 3) Waldenstrom's Macroglobulinemia (MYD88 and CXCR4 mutations)	Ibrutinib    In Australia: 1) First line for chronic lymphocytic leukaemia in patients with the 17p deletion 2) Second line for chronic lymphocytic leukaemia and small lymphocytic lymphoma (after at least one previous therapy) 3) Second line for mantle cell lymphoma (after at least one previous therapy).
Secukinumab	IL-17a antagonist used for Plaque Psoriasis    Type 17 helper T (Th17) cells, which regulates innate and adaptive immunity. The proinflammatory cytokine interleukin-17A is the primary effector of Th17 cells, but it is also produced by other cell types in psoriatic lesions, including γδ T cells, neutrophils, and possibly mast cells. Interleukin-17A stimulates keratinocytes to secrete chemokines and other proinflammatory mediators that recruit additional inflammatory cells, including neutrophils, Th17 cells, dendritic cells, and innate lymphoid cells.  Interleukin-17A thus potentially acts as a master cytokine in the pathogenesis of psoriasis.
IL-17a antagonist used for Plaque Psoriasis	Secukinumab    Type 17 helper T (Th17) cells, which regulates innate and adaptive immunity. The proinflammatory cytokine interleukin-17A is the primary effector of Th17 cells, but it is also produced by other cell types in psoriatic lesions, including γδ T cells, neutrophils, and possibly mast cells. Interleukin-17A stimulates keratinocytes to secrete chemokines and other proinflammatory mediators that recruit additional inflammatory cells, including neutrophils, Th17 cells, dendritic cells, and innate lymphoid cells.  Interleukin-17A thus potentially acts as a master cytokine in the pathogenesis of psoriasis.
Vedolizumab	α4-β7 integrin inhibitor. Selectively blocks gut lymphocyte trafficking without interfering with trafficking to the central nervous system.   The α4-β7 integrin, a cell surface glycoprotein variably expressed on circulating B and T lymphocytes, interacts with mucosal addressin-cell adhesion molecule-1 (MAdCAM-1) on intestinal vasculature. Vedolizumab, a humanized monoclonal antibody that specifically recognizes the α4-β7 heterodimer, selectively blocks gut lymphocyte trafficking without interfering with trafficking to the central nervous system.
α4-β7 integrin inhibitor. Selectively blocks gut lymphocyte trafficking without interfering with trafficking to the central nervous system.	Vedolizumab   The α4-β7 integrin, a cell surface glycoprotein variably expressed on circulating B and T lymphocytes, interacts with mucosal addressin-cell adhesion molecule-1 (MAdCAM-1) on intestinal vasculature. Vedolizumab, a humanized monoclonal antibody that specifically recognizes the α4-β7 heterodimer, selectively blocks gut lymphocyte trafficking without interfering with trafficking to the central nervous system.
Evolocumab	"Inhibits proprotein convertase subtilisin/kexin type 9 (PCSK9) resulting in lower LDL.   PCSK9 is a protein that targets LDL receptors for degradation and thereby reduces the liver's ability to remove LDL-C, or ""bad"" cholesterol, from the blood."
Inhibits proprotein convertase subtilisin/kexin type 9 (PCSK9) resulting in lower LDL.	"Evolocumab   PCSK9 is a protein that targets LDL receptors for degradation and thereby reduces the liver's ability to remove LDL-C, or ""bad"" cholesterol, from the blood."
Perfenidone	Antifibrotic therapy, reduces disease progression, as reflected by lung function, exercise tolerance, and progression-free survival, in patients with idiopathic pulmonary fibrosis.   A number of cell-based studies have shown that pirfenidone reduces fibroblast proliferation, inhibits TGF-β stimulated collagen production and reduces the production of fibrogenic mediators such as TGF-β.
Antifibrotic therapy, reduces disease progression, as reflected by lung function, exercise tolerance, and progression-free survival, in patients with idiopathic pulmonary fibrosis.	Perfenidone   A number of cell-based studies have shown that pirfenidone reduces fibroblast proliferation, inhibits TGF-β stimulated collagen production and reduces the production of fibrogenic mediators such as TGF-β.
Cholestyramine	Bile acid sequestrant, interferes with bile acid resorption
Bile acid sequestrant, interferes with bile acid resorption	Cholestyramine
Thiazolidinediones	Peroxisome proliferator-activated receptor (PPAR-gamma) activator
Peroxisome proliferator-activated receptor (PPAR-gamma) activator	Thiazolidinediones
GLP-1 analog + 2 examples	Glucose-dependant stimulation of insulin secretionExenatide, liraglutide   GLP-1 will only induce the release of insulin when glucose levels are high, thus this medication does not cause hypoglycemiaDPP-4 is an enzyme that breaks down GLP-1
Glucose-dependant stimulation of insulin secretionExenatide, liraglutide	GLP-1 analog + 2 examples   GLP-1 will only induce the release of insulin when glucose levels are high, thus this medication does not cause hypoglycemiaDPP-4 is an enzyme that breaks down GLP-1
DPP-4 Inhibitors & 2 examples	Inhibits the function of DPP-4, thus inhibits breakdown of GLP-1 Sitagliptin, lenagliptin   DPP-4 is an enzyme that breaks down GLP-1  GLP-1 will only induce the release of insulin when glucose levels are high, thus this medication does not cause hypoglycemia.
Inhibits the function of DPP-4, thus inhibits breakdown of GLP-1 Sitagliptin, lenagliptin	DPP-4 Inhibitors & 2 examples   DPP-4 is an enzyme that breaks down GLP-1  GLP-1 will only induce the release of insulin when glucose levels are high, thus this medication does not cause hypoglycemia.
LCZ696	Neprilysin Inhibitor (Sacubitril) + Valsartan    Neprilysin, a neutral endopeptidase, degrades several endogenous vasoactive peptides, including natriuretic peptides, bradykinin, and adrenomedullin. Inhibition of neprilysin increases the levels of these substances, countering the neurohormonal overactivation that contributes to vasoconstriction, sodium retention, and maladaptive remodeling.
Neprilysin Inhibitor (Sacubitril) + Valsartan	LCZ696    Neprilysin, a neutral endopeptidase, degrades several endogenous vasoactive peptides, including natriuretic peptides, bradykinin, and adrenomedullin. Inhibition of neprilysin increases the levels of these substances, countering the neurohormonal overactivation that contributes to vasoconstriction, sodium retention, and maladaptive remodeling.
Sacubitril	Neprolysin inhibitor  Used in heart failure. LCZ696 is sacubitril + valsartan in a single pill
Neprolysin inhibitor	Sacubitril  Used in heart failure. LCZ696 is sacubitril + valsartan in a single pill
Alirocumab	"Proprotein convertase subtilisin–kexin type 9 inactivators (PCSK-9) inactivators  Results in decreased LDL-receptor degradation, increased recirculation of the receptor to the surface of hepatocytes, and consequent lowering of LDL cholesterol levels in the bloodstream. PCSK9 is a protein that targets LDL receptors for degradation and thereby reduces the liver's ability to remove LDL-C, or ""bad"" cholesterol, from the blood."
Proprotein convertase subtilisin–kexin type 9 inactivators (PCSK-9) inactivators	"Alirocumab  Results in decreased LDL-receptor degradation, increased recirculation of the receptor to the surface of hepatocytes, and consequent lowering of LDL cholesterol levels in the bloodstream. PCSK9 is a protein that targets LDL receptors for degradation and thereby reduces the liver's ability to remove LDL-C, or ""bad"" cholesterol, from the blood."
Enzyme which converts the prodrug clopidogrel to its active metabolite (and metabolises some anti-depressants and proton pump inhibitors)	CYP2C19
CYP2C19	Enzyme which converts the prodrug clopidogrel to its active metabolite (and metabolises some anti-depressants and proton pump inhibitors)
Prasugrel	Inhibits platelet activation and aggregation by irreversibly blocking P2Y12 adenosine diphosphate receptors. More potent than clopidogrel and is not a prodrug.
Inhibits platelet activation and aggregation by irreversibly blocking P2Y12 adenosine diphosphate receptors. More potent than clopidogrel and is not a prodrug.	Prasugrel
Carbimazole	Inhibits thyroid peroxidase
Inhibits thyroid peroxidase	Carbimazole
Perampanel	Anti-epileptic that works by modulation of AMPA Glutamate
Anti-epileptic that works by modulation of AMPA Glutamate	Perampanel
Function of Senna	Increase gastric fluid secretion and bowel motility
Function of coloxyl (docusate)	Docusate inhibits fluid absorption or stimulates secretion in the jejunum.
Teriparatide	"PTH analogue Typically, PTH causes an elevated calcium through bone breakdown. However, intermittent dosing causes increased activation of osteoblasts causing bone ""growth"", which is the mechanism of action of once-daily dosing of teriparatide"
Tranexamic acid	Inhibits plasmin from degrading fibrin. Tranexamic acid is a synthetic derivative of the amino acid lysine that exerts its antifibrinolytic effect through the reversible blockade of lysine binding sites on plasminogen molecules.Used to stop hemorrhage
Mechanism of action of Ezetimibe	Selective cholesterol-absorption inhibitor Ezetimibe selectively inhibits the uptake of cholesterol from the intestinal lumen at the level of the enterocyte in the intestinal brush border while having no effect on other sterols or lipid-soluble vitamins. Ezetimibe 10 mg daily produces a consistent reduction in low-density lipoprotein cholesterol (LDL-C) by approximately 15 to 20% when used as monotherapy or in combination with 3-hydroxy-3-methylglutaryl coenzyme A inhibitors (statins) or fenofibrate and a 4 to 9% increase in high-density lipoprotein cholesterol.   While ezetimibe reduces LDL cholesterol, it has not been shown to have an impact on outcomes such as risk of death or major cardiovascular event like heart attack or stroke. Its effectiveness in reducing atherosclerosis in clinical trials has been inconsistent. The question of whether ezetimibe could make a difference in major outcomes was examined in the IMPROVE-IT trial, which compared treatment with ezetimibe vs. placebo on top of a background regimen of statin therapy in people who have had recent episodes of acute coronary syndrome over a six-year period. The trial results showing that ezetimibe treatment lowered the risk of experiencing a vascular event by 2%.
Pembrolizumab	PD-1 receptor inhibitor Programmed cell death 1 receptor inhibitor Melanoma resistant to ipilimumab NSCLC that has metastasised Similar to Nivolumab
Pazopanib	Multiple Tyrosine Kinase Inhibitors Used in metastatic renal cancerIt inhibits tyrosine kinase by binding to several targets including vascular endothelial growth factor receptor (VEGFR)-1, -2, -3, platelet derived factor receptor-I, and the cytokine receptor c-kit. Note that pazopanib is a metabolized for CYP3A4
Immunosuppressive medications and their mechanisms of action   CyclosporineTacrolimusSirolimus/Everolimus Binds toCyclophyillin[...]FK506 binding protein 12InhibitsCalcineurin[...]mTorMetabolisedCYP3A4 & P glycoprotein[...]CYP3A4	Immunosuppressive medications and their mechanisms of action   CyclosporineTacrolimusSirolimus/Everolimus Binds toCyclophyillinFK506 binding protein 12FK506 binding protein 12InhibitsCalcineurinCalcineurinmTorMetabolisedCYP3A4 & P glycoproteinCYP3A4CYP3A4     Upon entering T cells, both cyclosporine and tacrolimus bind with high affinity to proteins known as immunophilins. Cyclosporine binds mainly to cyclophilin A (encoded by the PPIA gene), the predominant cyclophilin found within T cells, and tacrolimus binds to FK-binding proteins, in particular FKBP12 (encoded by the FKBP1A gene). Both immunophilins interact with calcineurin and cause inhibition of calcineurin.
Immunosuppressive medications and their mechanisms of action   CyclosporineTacrolimusSirolimus/Everolimus Binds toCyclophyillinFK506 binding protein 12[...]InhibitsCalcineurinCalcineurin[...]MetabolisedCYP3A4 & P glycoproteinCYP3A4[...]	Immunosuppressive medications and their mechanisms of action   CyclosporineTacrolimusSirolimus/Everolimus Binds toCyclophyillinFK506 binding protein 12FK506 binding protein 12InhibitsCalcineurinCalcineurinmTorMetabolisedCYP3A4 & P glycoproteinCYP3A4CYP3A4     Upon entering T cells, both cyclosporine and tacrolimus bind with high affinity to proteins known as immunophilins. Cyclosporine binds mainly to cyclophilin A (encoded by the PPIA gene), the predominant cyclophilin found within T cells, and tacrolimus binds to FK-binding proteins, in particular FKBP12 (encoded by the FKBP1A gene). Both immunophilins interact with calcineurin and cause inhibition of calcineurin.
Mechanism of action of linezolid	Protein synthesis inhibitor (inhibits initiation) The oxazolidinones are protein synthesis inhibitors: they stop the growth and reproduction of bacteria by disrupting translation of messenger RNA (mRNA) into proteins in the ribosome. Although its mechanism of action is not fully understood, linezolid works on the first step of protein synthesis, initiation, unlike most other protein synthesis inhibitors, which inhibit elongation.
Mechanism of action of Tigecycline	Protein synthesis inhibitor. 30S ribosomal subunit inhibitor Glyclycycline The agents in this class are being developed to overcome bacterial mechanisms of tetracycline resistance such as ribosomal protection and efflux pumps. This drug binds to the 30S ribosomal subunit of bacteria and blocks entry of amino-acyl transfer RNA into the A site of the ribosome. Tigecycline binds 5 times more efficiently to this ribosomal site compared with the tetracycline.
Function of aromatase inhibitors	Inhibits aromatase's conversion of testosterone and other androgens to estrogen.
Conivaptan / Tolvaptan	Vasopressor Antagonists induce nephrogenic diabetes insipidus V2R antagonists have become a mainstay of treatment for euvolemic (i.e., SIADH, postoperative hyponatremia) and hypervolemic hyponatremia (i.e., CHF and cirrhosis)
Mechanism of action of bisphosphonates	Inhibits FPPS   Tightly adheres to bone surfaces and inhibits the enzyme farnesyl pyrophosphate synthase which is required for formation of cytoskeleton in osteoclasts, thereby inhibiting bone resorption.
Romosozumab	Sclerostin Inhibitor   By inhibiting the Wnt and bone morphogenetic protein signaling pathways, sclerostin impedes osteoblast proliferation and function, thereby decreasing bone formation. The fact that SOST expression is limited to skeletal tissue makes the inhibition of sclerostin a particularly attractive target, because it would affect skeletal health but limit the risk of off-target effects.
Sclerostin Inhibitor	Romosozumab   By inhibiting the Wnt and bone morphogenetic protein signaling pathways, sclerostin impedes osteoblast proliferation and function, thereby decreasing bone formation. The fact that SOST expression is limited to skeletal tissue makes the inhibition of sclerostin a particularly attractive target, because it would affect skeletal health but limit the risk of off-target effects.
Mycophenolate mofetil	Mycophenolate mofetil is a prodrug of mycophenolic acid (MPA), an inhibitor of inosine monophosphate dehydrogenase. This is the rate-limiting enzyme in de novo synthesis of guanosine nucleotides. T- and B-lymphocytes are more dependent on this pathway than other cell types are.
